REPORT_ID | CAUSE_IDENTIFIER | OPERATOR_CODE | OPERATOR_NAME | INCIDENT_ADDRESS | INCIDENT_CITY | INCIDENT_COUNTY | INCIDENT_STATE | ZIP_CODE | INCIDENT_DATE | DETECTION_TIME | ORIGIN_LEAK | ORIGIN_LEAK_OTHER |Fatalities Count|Injuries count| EMPLOYEE_FATALITIES | EMPLOYEE_INJURIES | NON_EMPLOYEE_FATALITIES | NON_EMPLOYEE_INJURIES | GAS_IGNITED | EXPLOSION_OCCURED | SECONDARY_EXPLOSIONS_FIRE | DISTANCE_SEWER_STORM_CONT | DISTANCE_SEWER_STORM_IMPA | DISTANCE_SEWER_OTHER_CONT | DISTANCE_SEWER_OTHER_IMPA | DISTANCE_WATER_CONTR | DISTANCE_WATER_IMPAIRED | LOCATION_LEAK | LOCATION_LEAK_OTHER | COVER_DEPTH | SOIL_INFORMATION | SOIL_TEMPERATURE | REPORTED_BY | REPORTED_BY_OTHER | MATERIAL_LEAKED_D | MATERIAL_LEAKED_D_OTHER | LOCATION_CORROSION | DESCRIPTION_CORROSION | CAUSE_CORROSION | CAUSE_CORROSION_OTHER | PH_SOIL | SOIL_RESISTIVITY | SOIL_TEST_YEAR | PIPE_SOIL_POTENTIAL_1 | PIPE_SOIL_POTENTIAL_2 | CAUSE_LEAK | CAUSE_LEAK_OTHER 
1720224|DAMAGE BY OUTSIDE FORCES            |18484|SOUTHERN CALIFORNIA GAS CO                        |                                        |BEVERLY HILLS            |LOS ANGELES              |CA|90210|19810101|508|BASE MATERIAL FRACTURE|                         |0|0|0|0|0|0|YES|NO |YES|0|0|0|0|0|0|BELOW OTHER PAVED AREA|                         |30|SOIL|60|AGENCY CAUSING DAMAGE|          |STEEL       |RET/ABAND                |NO DATA   |NO DATA          |NO DATA      |                         |0|0|0|0|0|DAMAGE BY EQUIPMENT BY OUTSIDE PARTY            |                         
1740878|OTHER                               |792|ATLANTA GAS LIGHT COMPANY                         |                                        |ROSWELL                  |FULTON                   |GA|30075|19810101|930|OTHER                 |OPERATE                  |0|1|0|0|0|1|YES|NO |NO |0|0|0|0|0|0|BELOW GROUND          |                         |0|SOIL|45|OPERATOR PERSONNEL   |          |PLASTIC     |                         |NO DATA   |NO DATA          |NO DATA      |                         |0|0|0|0|0|NO DATA                                         |                         
1770531|DAMAGE BY OUTSIDE FORCES            |6190|GAS SERVICE CO, THE                               |                                        |MISSION                  |JOHNSON                  |KS|66202|19810102|1125|BASE MATERIAL FRACTURE|                         |0|0|0|0|0|0|NO |NO |NO |0|0|0|0|0|0|BELOW GROUND          |                         |10|SOIL|60|AGENCY CAUSING DAMAGE|          |STEEL       |                         |NO DATA   |NO DATA          |NO DATA      |                         |0|0|0|0|0|DAMAGE BY EQUIPMENT BY OUTSIDE PARTY            |                         
1791435|DAMAGE BY OUTSIDE FORCES            |2748|CONSUMERS POWER CO                                |                                        |KALAMAZOO                |KALAMAZOO                |MI|49007|19810102|1300|BASE MATERIAL FRACTURE|                         |0|0|0|0|0|0|NO |NO |NO |0|0|0|0|0|0|BELOW ROAD (PAVED)    |                         |36|    |40|OTHER                |          |CAST IRON   |                         |NO DATA   |NO DATA          |NO DATA      |                         |0|0|0|0|0|DAMAGE BY EARTH MOVEMENT                        |                         
1820405|DAMAGE BY OUTSIDE FORCES            |2748|CONSUMERS POWER CO                                |2209 WEST MAIN                          |KALAMAZOO                |KALAMAZOO                |MI|49001|19810102|1730|BASE MATERIAL FRACTURE|                         |0|0|0|0|0|0|NO |NO |NO |0|0|0|0|0|0|BELOW GROUND          |                         |36|SOIL|32|OPERATOR PERSONNEL   |          |CAST IRON   |                         |NO DATA   |NO DATA          |NO DATA      |                         |0|0|0|0|0|DAMAGE BY EARTH MOVEMENT                        |                         
1840236|CORROSION                           |2608|COLUMBIA GAS OF WEST VIRGINIA, INC                |ALLEY BEHIND 816 LEE STREET             |CHARLESTON               |KANAWHA                  |WV|25312|19810103|2248|CORROSION             |                         |0|0|0|0|0|0|NO |NO |NO |0|0|0|0|0|0|BELOW ROAD (PAVED)    |                         |18|SOIL|50|OPERATOR PERSONNEL   |          |STEEL       |                         |EXTERNALLY|LOCALIZED PITTING|GALVANIC     |                         |13|0|0|1|1|                                                |                         
1710501|DAMAGE BY OUTSIDE FORCES            |7600|HOUSTON NATURAL GAS CORP                          |                                        |PASADENA                 |HARRIS                   |TX|77503|19810104|300|OTHER                 |ELECTRIC                 |0|0|0|0|0|0|YES|NO |NO |0|0|0|0|0|0|BELOW GROUND          |                         |36|SOIL|0|OTHER                |FIRE DEPT |STEEL       |                         |NO DATA   |NO DATA          |NO DATA      |                         |0|0|0|0|0|OTHER                                           |WEATHER                  
1740940|CORROSION                           |13730|NORTHERN INDIANA PUBLIC SERVICE CO                |                                        |FORT WAYNE               |ALLEN                    |IN|46802|19810104|932|BASE MATERIAL FRACTURE|                         |0|1|0|0|0|1|YES|NO |NO |80|0|2|0|0|0|BELOW OTHER PAVED AREA|                         |48|SOIL|0|CUSTOMER             |          |DUCTILE IRON|                         |EXTERNALLY|GENERAL CORROSION|GALVANIC     |                         |0|0|0|0|0|NO DATA                                         |                         
1750187|DAMAGE BY OUTSIDE FORCES            |22182|WASHINGTON GAS LIGHT COMPANY                      |                                        |WASHINGTON D C           |DIST OF COLUMBIA         |DC|20024|19810104|945|BASE MATERIAL FRACTURE|                         |0|0|0|0|0|0|YES|YES|NO |0|0|0|0|0|0|BELOW OTHER PAVED AREA|                         |46|ROCK|60|OTHER                |FIRE DEPT |STEEL       |                         |NO DATA   |NO DATA          |NO DATA      |                         |0|0|0|0|0|DAMAGE BY EQUIPMENT BY OUTSIDE PARTY            |                         
1820725|DAMAGE BY OUTSIDE FORCES            |2748|CONSUMERS POWER CO                                |218 W. PARK STREET                      |HOWELL                   |LIVINGSTON               |MI|48843|19810104|1800|OTHER                 |                         |0|2|0|0|0|2|YES|YES|NO |0|0|0|0|0|0|WITHIN BUILDING       |                         |0|    |0|POLICE               |          |STEEL       |                         |NO DATA   |NO DATA          |NO DATA      |                         |0|0|0|0|0|OTHER                                           |ELEC.ARC                 
